Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
96,96,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
97,97,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,873405723,I am too busy to join,,,Too busy/Stressed,RcrtSI_OptOut_v1r0_busy,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_873405723,,,
98,98,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
99,99,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,517101990,I am concerned about my privacy,,,Privacy Concerns,RcrtSI_OptOut_v1r0_priv,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_517101990,,Question text also shows up for HdRef_Privacy_v1r0,
100,100,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
101,101,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,347614743,I have received too many contacts from the study,,,Too Many Contacts,RcrtSI_OptOut_v1r0_contacts,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_347614743,,,
102,102,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
103,103,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,535928798,I am not able to complete the study activities online,,,Unable To Do Activites Online,RcrtSI_OptOut_v1r0_able,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_535928798,,Question text also for HdRef_Online_v1r0,
104,104,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
105,105,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,897366187,I do not want to join the study for other reasons,,,Oth,RcrtSI_OptOut_v1r0_other,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_897366187,,,
106,106,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
107,107,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,415693436,Please specify __________,,,Please specify __________,RcrtSI_OptOut_v1r0_specify,,Char,800,,N/A,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_415693436,,,
108,108,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,719451909,I do not think the research topic is important/I am not interested in the topic,,,Rsrch Topic Unimportant/Not Interested in Topic,RcrtSI_OptOut_v1r0_impt,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_719451909,,,
109,109,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
110,110,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,377633816,I do not want to participate in research,,,Not Interested In Rsch,RcrtSI_OptOut_v1r0_partic,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_377633816,,,
111,111,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
112,112,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,211023960,I do not want to be in a long-term study,,,Not Interested In Long-Term Study,RcrtSI_OptOut_v1r0_term,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_211023960,,,
113,113,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
114,114,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,209509101,I think the study takes too much time/asks for too much,,,Too Much Time/Asks For Too Much,RcrtSI_OptOut_v1r0_time,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_209509101,,,
115,115,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
116,116,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,363026564,I do not want to give biological samples,,,Not Interested In Giving Samples,RcrtSI_OptOut_v1r0_samples,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_363026564,,,
117,117,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
118,118,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,405352246,I think the payment or benefit to participate is not great enough,,,Compensation Too Low,RcrtSI_OptOut_v1r0_comp,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_405352246,,,
119,119,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
120,120,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,755545718,I do not think I am eligible,,,Think Not Eligible,RcrtSI_OptOut_v1r0_eligible,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_755545718,,,
121,121,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
122,122,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,831137710,I am opposed to genetic testing,,,Opposed To Gen Testing,RcrtSI_OptOut_v1r0_GenTest,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Recruitment Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_831137710,,,
123,123,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
